Sno,Meaning,Sentence,Abinaya,Aishwarya,Aishwarya,Aishwarya,Kandy,Kandy,Kandy,Rahini,Rahini,Sharly,Sharly,Swathi,Swathi
60,Hans sleeps in the car and Peter works in the car,காரின் உள்ளே செந்தில் தூங்குகிறார் மற்றும் காரின் உள்ளே ராஜேஷ் வேலைபார்க்கிறார்,காரின் உள்ளே செந்தில் தூங்குகிறார் மற்றும் ராஜேஷ் வேலைபார்க்கிறார்,,,,காரின் உள்ளே செந்தில் தூங்குகிறார் மற்றும்   ராஜேஷ் வேலைபார்க்கிறார்,,,காரின் உள்ளே செந்தில் தூங்குகிறார் மற்றும் ராஜேஷ் வேலைபார்க்கிறார் ,,காரின் உள்ளே செந்தில் தூங்குகிறார் மற்றும் ராஜேஷ் வேலைபார்க்கிறார்,,காரின் உள்ளே செந்தில் தூங்குகிறார் மற்றும்   ராஜேஷ் வேலைபார்க்கிறார்,
61,Hans sleeps in the car and Peter sleeps in the car,செந்தில் காரின் உள்ளே தூங்குகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்,செந்தில் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்கள்,,,,செந்தில்    மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்கள்,,,செந்தில் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்கள்,,செந்தில் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகின்றனர்,,செந்தில்    மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்கள்,
62,Hans works in the car and Peter works in the car,செந்தில் காரின் உள்ளே வேலைபார்க்கிறார் மற்றும் ராஜேஷ் காரின் உள்ளே வேலைபார்க்கிறார்,செந்தில் மற்றும் ராஜேஷ் காரின் உள்ளே வேலைபார்க்கிறார்கள்,,,,செந்தில்    மற்றும் ராஜேஷ் காரின் உள்ளே வேலைபார்க்கிறார்கள்,,,செந்தில் மற்றும் ராஜேஷ் காரின் உள்ளே வேலைபார்க்கிறார்கள் ,,செந்தில் மற்றும் ராஜேஷ் காரின் உள்ளே வேலைபார்க்கின்றனர்,,செந்தில்    மற்றும் ராஜேஷ் காரின் உள்ளே வேலைபார்க்கிறார்கள்,
63,Hans always sleeps in the car and Peter sometimes works in the car,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும் காரின் உள்ளே ராஜேஷ் சிலசமயங்களில் வேலைபார்க்கிறார்,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் வேலைபார்க்கிறார்,,,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் வேலைபார்க்கிறார்,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் வேலைபார்க்கிறார்,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் வேலைபார்க்கிறார் ,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்  ராஜேஷ் சிலசமயங்களில் வேலைபார்க்கிறார்,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் வேலைபார்க்கிறார்,
64,Hans always sleeps in the car and Peter sometimes works in the car with Maria,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும் காரின் உள்ளே ராஜேஷ் சிலசமயங்களில் லதா உடன் வேலைபார்க்கிறார்,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் லதா உடன் வேலைபார்க்கிறார்,,,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் லதா உடன் வேலைபார்க்கிறார்,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் லதா உடன் வேலைபார்க்கிறார்,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் லதா உடன் வேலைபார்க்கிறார் ,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்  ராஜேஷ் சிலசமயங்களில் லதா உடன் வேலைபார்க்கிறார்,,காரின் உள்ளே செந்தில் எப்போதும் தூங்குகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் லதா உடன் வேலைபார்க்கிறார்,
65,Hans always sings in the car for Susi and Peter sometimes composes in the car for Maria,காரின் உள்ளே செந்தில் எப்போதும் சுதா அவர்களுக்காக பாடுகிறார் மற்றும் காரின் உள்ளே ராஜேஷ் சிலசமயங்களில் லதா அவர்களுக்காக இசையமைக்கிறார்,காரின் உள்ளே செந்தில் எப்போதும் சுதாவிற்காக பாடுகிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் லதாவிற்காக இசையமைக்கிறார்,,,,காரின் உள்ளே செந்தில் எப்போதும் சுதா அவர்களுக்காக பாடுகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் லதா அவர்களுக்காக இசையமைக்கிறார்,,,காரின் உள்ளே செந்தில் எப்போதும் சுதா அவர்களுக்காக பாடுகிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் லதா அவர்களுக்காக இசையமைக்கிறார் ,,காரின் உள்ளே செந்தில் எப்போதும் சுதா அவர்களுக்காக பாடுகிறார் மற்றும்  ராஜேஷ் சிலசமயங்களில் லதா அவர்களுக்காக இசையமைக்கிறார்,,காரின் உள்ளே செந்தில் எப்போதும் சுதா அவர்களுக்காக பாடுகிறார் மற்றும்   ராஜேஷ் சிலசமயங்களில் லதா அவர்களுக்காக இசையமைக்கிறார்,
66,Hans always composes in the car for Maria and Peter sometimes composes in the car for Maria,காரின் உள்ளே செந்தில் எப்போதும் சுதா அவர்களுக்காக இசையமைக்கிறார் மற்றும் காரின் உள்ளே ராஜேஷ் சிலசமயங்களில் சுதா அவர்களுக்காக இசையமைக்கிறார்,காரின் உள்ளே செந்தில் எப்போதும் சுதாவிற்காக இசையமைக்கிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் சுதாவிற்காக இசையமைக்கிறார்,,,,காரின் உள்ளே செந்தில் எப்போதும்    மற்றும்   ராஜேஷ் சிலசமயங்களில் சுதா அவர்களுக்காக இசையமைக்கிறார்கள்,,,காரின் உள்ளே சுதா அவர்களுக்காக செந்தில் எப்போதும் இசையமைக்கிறார் மற்றும் ராஜேஷ் சிலசமயங்களில் இசையமைக்கிறார் ,,காரின் உள்ளே செந்தில் எப்போதும் சுதா அவர்களுக்காக இசையமைக்கிறார் மற்றும்  ராஜேஷ் சிலசமயங்களில்  இசையமைக்கிறார்,,காரின் உள்ளே செந்தில் எப்போதும்    மற்றும்   ராஜேஷ் சிலசமயங்களில் சுதா அவர்களுக்காக இசையமைக்கிறார்கள்,
67,Hans eats and Hans drinks,செந்தில் சாப்பிடுகிறார் மற்றும் செந்தில் குடிக்கிறார்,செந்தில் சாப்பிடுகிறார் மற்றும் குடிக்கிறார்,,,,செந்தில் சாப்பிடுகிறார் மற்றும்  குடிக்கிறார்,,,செந்தில் சாப்பிடுகிறார் மற்றும் குடிக்கிறார் ,,செந்தில் சாப்பிடுகிறார் மற்றும்  குடிக்கிறார்,,செந்தில் சாப்பிடுகிறார் மற்றும்  குடிக்கிறார்,
68,Hans eats today and Hans drinks tomorrow,செந்தில் இன்று சாப்பிடுகிறார் மற்றும் செந்தில் நாளை குடிக்கிறார்,செந்தில் இன்று சாப்பிடுகிறார் நாளை குடிப்பார்,,,,செந்தில் இன்று சாப்பிடுகிறார் மற்றும்  நாளை குடிக்கிறார்,,,செந்தில் இன்று சாப்பிடுகிறார் மற்றும் நாளை குடிக்கிறார் ,,செந்தில் இன்று சாப்பிடுகிறார் மற்றும் நாளை குடிக்கிறார்,செந்தில் இன்று சாப்பிடுகிறார்  நாளை குடிக்கிறார்,செந்தில் இன்று சாப்பிடுகிறார் மற்றும்  நாளை குடிக்கிறார்,
69,Today Hans eats and today Hans drinks,இன்று செந்தில் சாப்பிடுகிறார் மற்றும் இன்று செந்தில் குடிக்கிறார்,இன்று செந்தில் சாப்பிடுகிறார் மற்றும் குடிக்கிறார்,,,,இன்று செந்தில் சாப்பிடுகிறார் மற்றும்   குடிக்கிறார்,,,இன்று செந்தில் சாப்பிடுகிறார் மற்றும் குடிக்கிறார் ,,இன்று செந்தில் சாப்பிடுகிறார் மற்றும் குடிக்கிறார்,,இன்று செந்தில் சாப்பிடுகிறார் மற்றும்   குடிக்கிறார்,
70,Hans wants to sleep today and Hans wants to sleep tomorrow,செந்தில் இன்று தூங்க விரும்புகிறார் மற்றும் செந்தில் நாளை தூங்க விரும்புகிறார்,செந்தில் இன்று மற்றும் நாளை தூங்க விரும்புகிறார்,,,,செந்தில் இன்று   மற்றும்  நாளை தூங்க விரும்புகிறார்,,,செந்தில் இன்று மற்றும் நாளை தூங்க விரும்புகிறார் ,,செந்தில் இன்று தூங்க விரும்புகிறார் மற்றும்  நாளை தூங்க விரும்புகிறார்,,செந்தில் இன்று   மற்றும்  நாளை தூங்க விரும்புகிறார்,
71,Hans from Berlin can arrive today and Hans from Berlin can leave tomorrow,செந்தில் சென்னையில் இருந்து இன்று வர முடியும் மற்றும் செந்தில் சென்னையில் இருந்து நாளை வெளியேற முடியும்,செந்திலால் சென்னையில் இருந்து இன்று வர மற்றும்  நாளை வெளியேற முடியும்,,,,செந்தில் சென்னையில் இருந்து இன்று வர முடியும் மற்றும்    நாளை வெளியேற முடியும்,,,செந்தில் சென்னையில் இருந்து இன்று வர முடியும் மற்றும் நாளை வெளியேற முடியும் ,,செந்தில் சென்னையில் இருந்து இன்று வர முடியும் மற்றும் நாளை வெளியேற முடியும்,,செந்தில் சென்னையில் இருந்து இன்று வர முடியும் மற்றும்    நாளை வெளியேற முடியும்,
72,Hans from Berlin wants to arrive today and Hans from Hamburg wants to leave tomorrow,செந்தில் சென்னையில் இருந்து இன்று வர விரும்புகிறார் மற்றும் செந்தில் சேலத்தில் இருந்து நாளை வெளியேற விரும்புகிறார்,செந்தில் சென்னையில் இருந்து இன்று வர  மற்றும்  சேலத்தில் இருந்து நாளை வெளியேற விரும்புகிறார்,,,,செந்தில் சென்னையில் இருந்து இன்று வர விரும்புகிறார் மற்றும்    நாளை வெளியேற விரும்புகிறார்,,,செந்தில் சென்னையில் இருந்து இன்று வர மற்றும் சேலத்தில் இருந்து நாளை வெளியேற விரும்புகிறார் ,,செந்தில் சென்னையில் இருந்து இன்று வர விரும்புகிறார் மற்றும்  சேலத்தில் இருந்து நாளை வெளியேற விரும்புகிறார்,,செந்தில் சென்னையில் இருந்து இன்று வர விரும்புகிறார் மற்றும்    நாளை வெளியேற விரும்புகிறார்,
73,Tomorrow Peter celebrates with friends and Peter sleeps alone today,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று செந்தில் தனியாக தூங்குகிறார்,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று  தனியாக தூங்குகிறார்,,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று  தனியாக தூங்குகிறார்,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று தனியாக தூங்குகிறார் ,,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று  தனியாக தூங்குகிறார்,
74,The hunter went into the forest and the hunter shot a hare,வேட்டையாடி காட்டின் உள்ளே சென்றார் மற்றும் வேட்டையாடி ஒரு முயலை சுட்டார்,வேட்டையாடி காட்டின் உள்ளே சென்று  ஒரு முயலை சுட்டார்,,,,வேட்டையாடி காட்டின் உள்ளே சென்றார் மற்றும்  ஒரு முயலை சுட்டார்,,,வேட்டையாட காட்டின் உள்ளே சென்றார் மற்றும் ஒரு முயலை சுட்டார் ,,வேட்டையாடி காட்டின் உள்ளே சென்றார் மற்றும் ஒரு முயலை சுட்டார்,வேட்டையாடி காட்டின் உள்ளே சென்றார்  ஒரு முயலை சுட்டார்,வேட்டையாடி காட்டின் உள்ளே சென்றார் மற்றும்  ஒரு முயலை சுட்டார்,
75,I do not drink this wine any more and I pour this wine away,நான் இந்த மதுவை குடிக்க மாட்டேன் மற்றும் நான் இந்த மதுவை வெளியே வீசியெறிவேன்,நான் இந்த மதுவை குடிக்க மாட்டேன் மற்றும் வெளியே வீசியெறிவேன்,,,,நான் இந்த மதுவை குடிக்க மாட்டேன் மற்றும்    வெளியே வீசியெறிவேன்,,,நான் இந்த மதுவை குடிக்க மாட்டேன் மற்றும் வெளியே வீசியெறிவேன் ,,நான் இந்த மதுவை குடிக்க மாட்டேன் மற்றும்  வெளியே வீசியெறிவேன்,நான் இந்த மதுவை குடிக்க மாட்டேன்  வெளியே வீசியெறிவேன்,நான் இந்த மதுவை குடிக்க மாட்டேன் மற்றும்  வெளியே வீசியெறிவேன்,
76,He wants to pass the exam and he can pass the exam,அவர் அந்த தேர்வில் தேர விரும்புகிறார் மற்றும் அவரால் அந்த தேர்வில் தேர முடியும்,அவர் அந்த தேர்வில் தேர விரும்புகிறார் மற்றும் அவரால்  முடியும்,,,,அவர் அந்த தேர்வில் தேர விரும்புகிறார் மற்றும் அவரால்    முடியும்,,,அவர் அந்த தேர்வில் தேர விரும்புகிறார் மற்றும் அவரால் தேர முடியும் ,,அவர் அந்த தேர்வில் தேர விரும்புகிறார் மற்றும் அவரால் தேர்வில் தேர முடியும்,அவர் அந்த தேர்வில் தேர விரும்புகிறார் மற்றும் அந்த தேர்வில் தேர முடியும்,அவர் அந்த தேர்வில் தேர விரும்புகிறார் மற்றும் அவரால்    முடியும்,
77,Yesterday you left and yesterday you did not say anything,நேற்று நீ வெளியேறினாய் மற்றும் நேற்று நீ பேச இல்லை,நேற்று நீ வெளியேறினாய் மற்றும் பேசவில்லை,,,,நேற்று நீ வெளியேறினாய் மற்றும்   பேச இல்லை,,,நேற்று நீ வெளியேறினால் மற்றும் பேச இல்லை ,,நேற்று நீ வெளியேறினாய் மற்றும் பேசவில்லை ,,நேற்று நீ வெளியேறினாய் மற்றும் பேசவில்லை ,
78,Why did you leave and why did not you say anything,நீ ஏன் வெளியேறினாய் மற்றும் நீ ஏன் பேச இல்லை,நீ ஏன் வெளியேறினாய் மற்றும் ஏன் பேசவில்லை,,,,நீ ஏன் வெளியேறினாய் மற்றும்   பேச இல்லை,,,நீ ஏன் வெளியேறினால் மற்றும் பேச இல்லை ,நீ ஏன் வெளியேறினால் மற்றும் ஏன் பேச இல்லை ,நீ ஏன் வெளியேறினாய் மற்றும்  ஏன் பேசவில்லை ,நீ ஏன் வெளியேறினாய் மற்றும்  பேசவில்லை ,நேற்று நீ வெளியேறினாய் மற்றும் பேசவில்லை ,
79,Are People still standing in front of the house and  are people shouting slogans?,மக்கள் வீட்டின் முன் இன்னுமா நிற்கிறார்கள் மற்றும் மக்கள் கூச்சல் எழுப்புகிறார்கள்,மக்கள் வீட்டின் முன் இன்றும் நின்று  கூச்சல் எழுப்புகிறார்கள்,,,,மக்கள் வீட்டின் முன் இன்னுமா நிற்கிறார்கள் மற்றும்  கூச்சல் எழுப்புகிறார்கள்,,,மக்கள் வீட்டின் முன் இன்னுமா நிற்கிறார்கள் மற்றும் கூச்சல் எழுப்புகிறார்கள்,,மக்கள் வீட்டின் முன் இன்னுமா நிற்கிறார்கள் மற்றும் கூச்சல் எழுப்புகிறார்கள்,,மக்கள் வீட்டின் முன் இன்னுமா நிற்கிறார்கள் மற்றும் கூச்சல் எழுப்புகிறார்கள்,
80,Yesterday you left and yesterday you did not warn me,நேற்று நீ சென்றாய் மற்றும் நேற்று நீ என்னை எச்சரிக்க இல்லை,நேற்று நீ சென்றாய் ஆனால் நீ என்னை எச்சரிக்கவில்லை,,,,நேற்று நீ சென்றாய் மற்றும்   என்னை எச்சரிக்க இல்லை,,,நேற்று நீ சென்றாய் மற்றும் என்னை எச்சரிக்க இல்லை,,,,நேற்று நீ சென்றாய் மற்றும்   என்னை எச்சரிக்க இல்லை,
81,Peter celebrates tomorrow with friends and tomorrow Peter is sleeping alone,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் நாளை செந்தில் தனியாக தூங்குகிறார்,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் தனியாக தூங்குகிறார்,,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும்   தனியாக தூங்குகிறார்,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் தனியாக தூங்குகிறார்,,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும்   தனியாக தூங்குகிறார்,
82,Peter celebrates tomorrow with friends and Peter sleeps today without friends,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று செந்தில் நண்பர்கள் இல்லாமல் தூங்குகிறார்,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார்  இன்று நண்பர்கள் இல்லாமல் தூங்குகிறார்,,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று  நண்பர்கள் இல்லாமல் தூங்குகிறார்,,,நாளை செந்தில் நண்பர்களுடன் கொண்டாடுகிறார் மற்றும் இன்று அவர்கள் இல்லாமல் தூங்குகிறார்,,,,நாளை செந்தில் நண்பர்கள் உடன் கொண்டாடுகிறார் மற்றும் இன்று  நண்பர்கள் இல்லாமல் தூங்குகிறார்,
83,Hans eats the soup and Hans lies down,செந்தில் சூப் சாப்பிடுகிறார் மற்றும் செந்தில் கீழே படுத்துக் கொண்டார்,செந்தில் சூப் சாப்பிடும்போது கீழே படுத்துக் கொண்டார்,,,,செந்தில் சூப் சாப்பிடுகிறார் மற்றும்  கீழே படுத்துக் கொண்டார்,,,செந்தில் சூப் சாப்பிடுகிறார் மற்றும் கீழே படுத்து கொண்டார்,,செந்தில் சூப் சாப்பிடுகிறார் மற்றும்  கீழே படுத்துக் கொண்டார்,,செந்தில் சூப் சாப்பிடுகிறார் மற்றும்  கீழே படுத்துக் கொண்டார்,
84,Hans wants to eat the soup and Hans wants to lie down,செந்தில் சூப் சாப்பிட விரும்புகிறார் மற்றும் செந்தில் படுத்துக் கொள்ள விரும்புகிறார்,செந்தில் சூப் சாப்பிடவும் மற்றும் படுத்துக் கொள்ளவும் விரும்புகிறார்,,,,செந்தில் சூப் சாப்பிட  மற்றும்  படுத்துக் கொள்ள விரும்புகிறார்,,,செந்தில் சூப் சாப்பிட மற்றும் படுத்துக்கொள்ள விரும்புகிறார்,செந்தில் சூப் சாப்பிட்டு படுத்துக்கொள்ள விரும்புகிறார்,செந்தில் சூப் சாப்பிட விரும்புகிறார் மற்றும் படுத்துக் கொள்ள விரும்புகிறார்,,செந்தில் சூப் சாப்பிட மற்றும் படுத்துக்கொள்ள விரும்புகிறார்,
85,Hans wants to eat the soup and wants to Hans lie down,செந்தில் சூப் சாப்பிட விரும்புகிறார் மற்றும் செந்தில் படுத்துக் கொள்ள விரும்புகிறார்,,,,,செந்தில் சூப் சாப்பிட  மற்றும்  படுத்துக் கொள்ள விரும்புகிறார்,,,,,,,செந்தில் சூப் சாப்பிட  மற்றும்  படுத்துக் கொள்ள விரும்புகிறார்,
86,Hans wants to try eat The soup and Hans tries to lie down,செந்தில் சூப் சாப்பிட முயற்சிக்க விரும்புகிறார் மற்றும் செந்தில் படுத்துக் கொள்ள முயற்சிக்க விரும்புகிறார்,செந்தில் சூப் சாப்பிட்டு படுத்துக் கொள்ள முயற்சிக்குறார்,,,,செந்தில் சூப் சாப்பிட   மற்றும்  படுத்துக் கொள்ள முயற்சிக்க விரும்புகிறார்,,,செந்தில் சூப் சாப்பிட மற்றும் படுத்துக்கொள்ள முயற்சிக்க விரும்புகிறார்,,செந்தில் சூப் சாப்பிட மற்றும் படுத்துக் கொள்ள  முயற்சிக்க விரும்புகிறார் ,,செந்தில் சூப் சாப்பிட   மற்றும்  படுத்துக் கொள்ள முயற்சிக்க விரும்புகிறார்,
87,Hans wants to try eat the soup and and Hans wants to try drink the beer,செந்தில் சூப் சாப்பிட முயற்சிக்க விரும்புகிறார் மற்றும் செந்தில் பீர் குடிக்க முயற்சிக்க விரும்புகிறார்,செந்தில் சூப் சாப்பிடவும் மற்றும் பீர் குடிக்கவும் முயற்சிக்குறார்,,,,செந்தில் சூப் சாப்பிட   மற்றும்  பீர் குடிக்க முயற்சிக்க விரும்புகிறார்,,,செந்தில் சூப் சாப்பிட மற்றும் பீர் குடிக்க முயற்சிக்க விரும்புகிறார்,,செந்தில் சூப் சாப்பிட மற்றும் பீர் குடிக்க முயற்சிக்க விரும்புகிறார் ,,செந்தில் சூப் சாப்பிட   மற்றும்  பீர் குடிக்க முயற்சிக்க விரும்புகிறார்,
88,Hans wants to try eat the soup and and Hans wants the beer to try drink ,செந்தில் சூப் சாப்பிட முயற்சிக்க விரும்புகிறார் மற்றும் செந்தில் பீர் குடிக்க முயற்சிக்க விரும்புகிறார்,,,,,செந்தில் சூப் சாப்பிட   மற்றும்  பீர் குடிக்க முயற்சிக்க விரும்புகிறார்,,,,,,,செந்தில் சூப் சாப்பிட   மற்றும்  பீர் குடிக்க முயற்சிக்க விரும்புகிறார்,
89,Caesar came and Caesar saw and Caesar won,சோழர் வந்தார் மற்றும் சோழர் பார்த்தார் மற்றும் சோழர் வென்றார்,சோழர் வந்தார் பார்த்தார் மற்றும் வென்றார்,,,,சோழர் வந்தார் மற்றும்  பார்த்தார் மற்றும்  வென்றார்,,,சோழர் வந்தார் மற்றும் பார்த்தார் மற்றும் வென்றார்,,சோழர் வந்தார் மற்றும்  பார்த்தார் மற்றும் வென்றார்,சோழர் வந்தார்  பார்த்தார் மற்றும் வென்றார்,சோழர் வந்தார் மற்றும் பார்த்தார் மற்றும் வென்றார்,
90,Caesar came and Caesar saw and Caesar fought and Caesar won,சோழர் வந்தார் மற்றும் சோழர் பார்த்தார் மற்றும் சோழர் போரிட்டார் மற்றும் சோழர் வென்றார்,சோழர் வந்தார்  பார்த்தார் போரிட்டார் மற்றும் வென்றார்,,,,சோழர் வந்தார் மற்றும்  பார்த்தார் மற்றும்  போரிட்டார் மற்றும்  வென்றார்,,,சோழர் வந்தார் மற்றும் பார்த்தார் மற்றும் போரிட்டார் மற்றும் வென்றார்,,சோழர் வந்தார்  பார்த்தார் போரிட்டார் மற்றும் வென்றார்,,சோழர் வந்தார் மற்றும் பார்த்தார் மற்றும் போரிட்டார் மற்றும் வென்றார்,
91,Caesar came and Caesar saw and Caesar fought and Caesar lost and Caesar disappeared,சோழர் வந்தார் மற்றும் சோழர் பார்த்தார் மற்றும் சோழர் போரிட்டார் மற்றும் சோழர் தோற்றார் மற்றும் சோழர் மறைந்தார்,சோழர் வந்தார் பார்த்தார் போரிட்டார்  தோற்றார் பிறகு மறைந்தார்,,,,சோழர் வந்தார் மற்றும்  பார்த்தார் மற்றும்  போரிட்டார் மற்றும்  தோற்றார் மற்றும்  மறைந்தார்,,,சோழர் வந்தார் மற்றும் பார்த்தார் மற்றும் போரிட்டார் மற்றும் தோற்றார் மற்றும் மறைந்தார்,,சோழர் வந்தார் பார்த்தார்  போரிட்டார் தோற்றார் மற்றும்  மறைந்தார்,,சோழர் வந்தார் மற்றும் பார்த்தார் மற்றும் போரிட்டார் மற்றும் தோற்றார் மற்றும் மறைந்தார்,
92,Caesar came and Titus saw and Titus won,சோழர் வந்தார் மற்றும் சேரர் பார்த்தார் மற்றும் சேரர் வென்றார்,சோழர் வந்தார் சேரர் பார்த்தார் பிறகு சேரர் வென்றார்,,,,சோழர் வந்தார் மற்றும் சேரர் பார்த்தார் மற்றும்  வென்றார்,,,சோழர் வந்தார் மற்றும் சேரர் பார்த்தார் மற்றும் வென்றார்,,,,சோழர் வந்தார் மற்றும் சேரர் பார்த்தார் மற்றும் வென்றார்,
93,Caesar came and Titus came and Titus won,சோழர் வந்தார் மற்றும் சேரர் வந்தார் மற்றும் சேரர் வென்றார்,சோழரும் சேரரும் வந்தார்கள் பிறகு சேரர் வென்றார்,,,,சோழர்  மற்றும் சேரர் வந்தார்கள் மற்றும் சேரர் வென்றார்,சோழர்  மற்றும் சேரர் வந்தார் மற்றும் சேரர் வென்றார்,,சோழர் மற்றும் சேரர் வந்தார்கள் மற்றும் சேரர் வென்றார்,சோழர் வந்தார் மற்றும் சேரர் வந்து வென்றார்,,,சோழர் மற்றும் சேரர் வந்தார்கள் மற்றும் சேரர் வென்றார்,
94,Hans wants to sleep and Hans wants to dream and Hans wants to wake up,செந்தில் தூங்க விரும்புகிறார் மற்றும் செந்தில் கனவுகாண விரும்புகிறார் மற்றும் செந்தில் எழுந்திரிக்க விரும்புகிறார்,செந்தில் தூங்கும்போது கனவுகாண விரும்புகிறார் மற்றும் எழுந்திரிக்க விரும்புகிறார்,,,,செந்தில் தூங்க  மற்றும்  கனவுகாண  மற்றும்  எழுந்திரிக்க விரும்புகிறார்,,,செந்தில் தூங்க மற்றும் கனவு காண மற்றும் எழுந்திரிக்க விரும்புகிறார்,செந்தில் தூங்கி கனவு கண்டு எழுந்திரிக்க விரும்புகிறார்,செந்தில் தூங்க விரும்புகிறார்  கனவுகாண விரும்புகிறார் மற்றும் எழுந்திரிக்க விரும்புகிறார்,,செந்தில் தூங்க மற்றும் கனவு காண மற்றும் எழுந்திரிக்க விரும்புகிறார்,
95,the little Hans and the big Hans sleep,சிறிய செந்தில் மற்றும் பெரிய செந்தில் தூங்குகிறார்கள்,சிறிய மற்றும் பெரிய செந்தில் தூங்குகிறார்கள்,,,,சிறிய  மற்றும் பெரிய செந்தில் தூங்குகிறார்கள்,,,சிறிய மற்றும் பெரிய செந்தில் தூங்குகிறார்கள்,சிறிய செந்திலும் பெரிய செந்திலும் தூங்குகிறார்கள்,சிறிய மற்றும் பெரிய செந்தில் தூங்குகிறார்கள்,,சிறிய மற்றும் பெரிய செந்தில் தூங்குகிறார்கள்,
96,With beer and sausages and potato salad Hans grills with Maria in front of the house and next to the house and behind the house,செந்தில் சுதா உடன் பீர் உடன் மற்றும் இறைச்சி உடன் மற்றும் உருளைக்கிழங்குசாலட் உடன் வீட்டின் முன் மற்றும் வீட்டின் அருகே மற்றும் வீட்டின் பின்னால் வாட்டுகிறார்,செந்தில் சுதா உடன் பீர் இறைச்சி மற்றும் உருளைக்கிழங்குசாலட்டை வீட்டின் முன் அருகே மற்றும் வீட்டின் பின்னால் வாட்டுகிறார்,,,,செந்தில் சுதா உடன் பீர்  மற்றும் இறைச்சி  மற்றும் உருளைக்கிழங்குசாலட்  வீட்டின் முன் மற்றும்  அருகே மற்றும்  பின்னால் வாட்டுகிறார்,,,,,செந்தில் சுதா உடன் பீர்  இறைச்சி  மற்றும் உருளைக்கிழங்குசாலட் உடன் வீட்டின் முன் வீட்டின் அருகே மற்றும் வீட்டின் பின்னால் வாட்டுகிறார்,,செந்தில் சுதா உடன் பீர்  மற்றும் இறைச்சி  மற்றும் உருளைக்கிழங்குசாலட்  வீட்டின் முன் மற்றும்  அருகே மற்றும்  பின்னால் வாட்டுகிறார்,
